Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-02-22T15:56:46.144Z","Included","gpt-5.3-codex","No","0","61835","9728","691","72254","0.12"
"2026-02-22T15:53:28.261Z","Included","gpt-5.3-codex","No","0","188869","487168","5155","681192","0.49"
"2026-02-22T15:50:45.959Z","Included","composer-1","No","0","19095","8960","2213","30268","0.03"
"2026-02-22T15:50:45.956Z","Included","composer-1","No","0","18940","8960","1764","29664","0.03"
"2026-02-22T15:50:45.951Z","Included","composer-1","No","0","46861","50880","3302","101043","0.07"
"2026-02-22T15:50:25.293Z","Included","gpt-5.3-codex","No","0","60144","44032","4655","108831","0.18"
"2026-02-22T15:50:14.997Z","Errored, No Charge","gpt-5.3-codex","No","0","0","0","0","0","0.00"
"2026-02-22T15:49:11.849Z","Included","gpt-5.3-codex","No","0","68245","1536","773","70554","0.13"
"2026-02-22T15:48:24.104Z","Included","gpt-5.3-codex","No","0","10656","58368","509","69533","0.04"
"2026-02-22T15:45:39.079Z","Included","gpt-5.3-codex","No","0","113706","16384","1357","131447","0.22"
"2026-02-22T15:23:23.507Z","Included","auto","No","0","39826","134656","4902","179384","0.11"
"2026-02-22T15:23:09.367Z","Included","auto","No","0","38070","28160","179","66409","0.06"
"2026-02-22T15:02:09.558Z","Included","auto","No","0","63334","5689344","18561","5771239","1.61"
"2026-02-22T14:58:46.213Z","Included","auto","No","0","2095","96256","1030","99381","0.03"
"2026-02-22T14:56:49.496Z","Included","auto","No","0","85701","196608","1930","284239","0.17"
"2026-02-22T14:56:32.271Z","Included","composer-1.5","No","0","127958","5847360","40948","6016266","1.75"
"2026-02-22T14:52:45.566Z","Included","composer-1.5","No","0","113514","1609472","19327","1742313","0.59"
"2026-02-22T14:51:45.410Z","Included","composer-1.5","Yes","0","527","241267","153","241947","0.07"
"2026-02-22T14:45:24.692Z","Included","composer-1.5","Yes","0","118410","122227","279","240916","0.18"
"2026-02-22T14:44:28.500Z","Included","composer-1.5","No","0","164988","2952352","24151","3141491","1.00"
"2026-02-22T14:36:52.358Z","Included","gpt-5.3-codex","No","0","386235","363136","3813","753184","0.79"
"2026-02-22T11:42:06.953Z","Aborted, Not Charged","gpt-5.3-codex","No","0","0","0","0","0","0.00"
"2026-02-22T06:20:56.515Z","Included","composer-1.5","No","0","80616","401024","7958","489598","0.21"
"2026-02-22T06:20:56.358Z","Included","composer-1.5","No","0","66381","574784","9644","650809","0.25"
"2026-02-22T06:09:59.572Z","Included","composer-1.5","No","0","155107","5001984","46892","5203983","1.59"
"2026-02-22T06:09:59.562Z","Included","composer-1.5","No","0","144519","7074560","39948","7259027","2.07"
"2026-02-22T06:07:21.780Z","Included","composer-1.5","No","0","67676","488224","7616","563516","0.22"
"2026-02-22T06:04:57.804Z","Included","composer-1.5","Yes","0","12166","985696","9133","1006995","0.35"
"2026-02-22T06:02:12.880Z","Included","composer-1.5","No","0","43255","1141856","14544","1199655","0.39"
"2026-02-22T06:02:12.831Z","Included","composer-1.5","No","0","65981","2444512","18856","2529349","0.75"
"2026-02-22T06:02:11.816Z","Included","gpt-5.3-codex","No","0","188030","230016","3031","421077","0.41"
"2026-02-22T06:02:03.390Z","Included","composer-1.5","No","0","7914","1101312","3126","1112352","0.30"
"2026-02-22T06:02:03.377Z","Included","gpt-5.2-codex-high","No","0","142922","227712","2230","372864","0.32"
"2026-02-22T05:52:35.150Z","Included","composer-1.5","Yes","0","81353","3445504","25522","3552379","1.25"
"2026-02-22T05:48:23.054Z","Included","composer-1.5","No","0","69608","2111360","14945","2195913","0.66"
"2026-02-22T05:48:23.015Z","Included","composer-1.5","No","0","72157","2585888","24126","2682171","0.82"
"2026-02-22T05:45:47.341Z","Included","composer-1.5","No","0","43048","363872","4390","411310","0.15"
"2026-02-22T05:44:30.056Z","Included","composer-1.5","No","0","75665","629600","8353","713618","0.27"
"2026-02-22T05:42:28.115Z","Included","composer-1.5","No","0","28707","96768","4535","130010","0.07"
"2026-02-22T05:41:53.977Z","Included","gpt-5.3-codex","No","0","336143","1217408","5865","1559416","0.88"
"2026-02-22T05:40:00.146Z","Included","composer-1.5","No","0","31982","130208","3031","165221","0.08"
"2026-02-22T05:40:00.125Z","Included","composer-1","No","0","47371","14848","3325","65544","0.06"
"2026-02-22T05:40:00.075Z","Included","composer-1","No","0","52177","303136","4513","359826","0.15"
"2026-02-22T05:39:31.112Z","Included","auto","No","0","9705","205312","1193","216210","0.07"
"2026-02-22T05:38:23.293Z","Included","auto","No","0","188","37888","770","38846","0.01"
"2026-02-22T05:38:16.456Z","Errored, No Charge","auto","No","0","0","0","0","0","0.00"
"2026-02-22T05:38:08.171Z","Errored, No Charge","auto","No","0","0","0","0","0","0.00"
"2026-02-22T05:36:06.091Z","Included","gpt-5.3-codex","No","0","415837","62464","10179","488480","0.52"
"2026-02-22T05:29:32.302Z","Included","auto","No","0","169977","549888","4781","724646","0.38"
"2026-02-22T05:28:23.394Z","Included","auto","No","0","27014","282624","3403","313041","0.12"
"2026-02-22T05:27:16.494Z","Included","composer-1.5","Yes","0","78259","247104","4072","329435","0.19"
"2026-02-22T05:22:50.226Z","Included","auto","No","0","19288","99328","3175","121791","0.07"
"2026-02-22T05:18:37.089Z","Included","auto","No","0","1560","35840","949","38349","0.02"
"2026-02-22T05:17:02.219Z","Included","auto","No","0","2285","33792","726","36803","0.02"
"2026-02-22T05:15:25.590Z","Included","auto","No","0","13667","121344","1993","137004","0.06"
"2026-02-22T05:12:41.528Z","Included","auto","No","0","38036","177664","4202","219902","0.12"
